Group,URL,Page,Shots,Shot brief,Alt text
Solution,/solutions/balcony-bird-problems/,Bird Problems in Balcony - Bird & Pigeon Control Solutions,set,"this section is the most valuable one on the page and I cannot write it for you. What is needed, ideally from real customer sites: 1. BEFORE — a fouled balcony ledge, droppings and nesting material visible 2. DURING — the strip being fixed, hands in shot 3. AFTER — the same angle as the before shot, clean, spikes fitted 4. CLOSE — the product itself on the surface, sharp enough to see build quality 5. AC UNIT — spikes on an outdoor unit, since it is the commonest nesting spot 6. NET — a balcony net photographed from inside The before/after pair matched from the same angle is worth more than the other four combined. Phone photos are fine — in fact better, because they look real. Every competitor page uses stock imagery. This is where you beat them.",
Bird care,/bird-care/,Bird Care,single,"the feeder in use with real garden birds on it, not a studio shot",Small birds feeding at a hanging bird feeder
Bird care,/bird-care/bird-feeders/,Bird Feeders,single,the feeder hanging in a real setting with birds on the perches,Hanging bird feeder with small birds at the perches
Bird care,/bird-care/bird-food-feeders/,Bird Food Feeders,single,"the tube part filled with grain, level clearly visible through the clear body","Bird food feeder filled with millet, birds at the ports"
Product,/bird-control/bird-spikes/,Bird Spikes,single,a strip photographed on a narrow sill with a scale reference — a hand or a coin. Width is the whole story on this page and a floating product shot on white does not show it,Narrow-base bird spikes fitted on a window sill
Product,/bird-control/bird-spikes/,Bird Spikes,set,"a sill, a railing and a pillar capital — the three commonest jobs. Include at least one taken from normal viewing distance so people can see how little it shows.",
Bird care,/bird-care/bird-water-feeders/,Bird Water Feeders,single,"the water feeder in use, birds drinking at the tray, in real light",Sparrows drinking from a hanging bird water feeder
Solution,/solutions/cable-bird-problems/,Bird & Pigeon Problems on Overhead Cables,single,"birds on an overhead line with a protected surface below — the point of the page is the surface, not the wire",Birds on an overhead cable above a protected area
Solution,/solutions/cable-bird-problems/,Bird & Pigeon Problems on Overhead Cables,set,a net over a parking bay with the cable visible above it — one image that explains the whole approach; spikes on a pole top or wall bracket.,
Solution,/solutions/cable-tray-bird-problems/,Bird & Pigeon Problems on Cable Trays,single,"spikes fitted along a cable tray, cable ties visible through the perforations",Bird spikes fitted along a perforated cable tray
Solution,/solutions/cable-tray-bird-problems/,Bird & Pigeon Problems on Cable Trays,set,"a close-up of the base fixed through tray perforations with cable ties — this single image answers the main technical objection on the page; a long tray run protected; a nest inside a tray, which explains the risk instantly.",
Solution,/solutions/cornice-beam-bird-problems/,Bird & Pigeon Problems on Cornices and Beam Junctions,single,"spikes fitted at the back of a cornice against the wall, with the outer edge visible",Bird spikes fitted at the wall junction of a cornice
Solution,/solutions/cornice-beam-bird-problems/,Bird & Pigeon Problems on Cornices and Beam Junctions,set,"a cornice with a nest tucked into the wall junction — that image makes the whole argument; the same cornice with two rows fitted, corner and edge.",
Solution,/solutions/cove-area-bird-problems/,Bird Problems in Cove Areas and False Ceiling Recesses,single,"a cove running around a showroom or atrium perimeter, shot from the floor",False ceiling cove recess in a commercial interior
Solution,/solutions/cove-area-bird-problems/,Bird Problems in Cove Areas and False Ceiling Recesses,set,inside a cove trough with spikes fitted alongside the LED strip; the same cove from floor level showing nothing is visible. The pair is the sell.,
Solution,/solutions/curved-area-bird-problems/,Bird & Pigeon Problems on Curved Surfaces,single,"short spike segments following a curved ledge, so the chording is visible",Bird spikes fitted in short segments around a curved ledge
Solution,/solutions/curved-area-bird-problems/,Bird & Pigeon Problems on Curved Surfaces,set,"short segments chording around an arch — one image explains the whole method; a failed installation where a long strip has lifted off a curve, if you have ever been called to fix one. That second photo would be unusually persuasive.",
Solution,/solutions/dome-bird-problems/,Bird & Pigeon Problems on Domes,single,"a dome with spikes visible only on the base drum and finial, dome shell untouched","Bird spikes fitted on a dome base ring, dome surface left clear"
Solution,/solutions/dome-bird-problems/,Bird & Pigeon Problems on Domes,set,"a dome from the ground with the base ring protected and the shell clear — proves the ""we do not touch the architecture"" point; a jaali or vent opening netted; a finial with a small segment fitted.",
Solution,/solutions/edge-bird-problems/,"Bird & Pigeon Problems on Edges, Copings and Fascias",single,"a long roof edge or coping with spikes running the full length, against sky",Bird spikes fitted along a building roof edge
Solution,/solutions/edge-bird-problems/,"Bird & Pigeon Problems on Edges, Copings and Fascias",set,"a long edge run against sky; ideally a run several years old, still clear and uncoloured. On this page an aged photo sells harder than a new one.",
Solution,/solutions/facade-bird-problems/,Bird & Pigeon Problems on Building Facades,single,"a building elevation with the protected bands visible, ideally one where the streaking has stopped",Bird spikes fitted along facade string courses and window sills
Solution,/solutions/facade-bird-problems/,Bird & Pigeon Problems on Building Facades,set,"a full elevation before and after, from the same position — the streaking is the story and this pair tells it; a close-up from street level showing how little a fitted band reads from below.",
Solution,/solutions/girder-bird-problems/,Bird & Pigeon Problems on Girders and Steel Beams,single,"spikes fitted along the bottom flange of an I-beam, shot along the length",Bird spikes fitted along a steel girder flange
Solution,/solutions/girder-bird-problems/,Bird & Pigeon Problems on Girders and Steel Beams,set,two parallel rows on a wide flange — proves the two-row point better than any paragraph; a stiffener pocket with a nest in it; a long run shot down the beam.,
Solution,/solutions/ledge-bird-problems/,Bird & Pigeon Problems on Ledges,single,spikes on a projecting ledge with a tape showing the depth — the measurement is the point of this page,Bird spikes fitted on a building ledge
Solution,/solutions/ledge-bird-problems/,Bird & Pigeon Problems on Ledges,set,"a deep ledge with two rows fitted, and a shallow one with a single row — side by side, they make the depth argument visually in one glance.",
Product,/bird-control/monkey-spikes/,Monkey Spikes,single,"a compound wall top with monkey spikes fitted, shot along the run",Monkey spikes fitted along a boundary wall
Product,/bird-control/monkey-spikes/,Monkey Spikes,set,"a compound wall run, and ideally a before/after of a specific route — the pipe or wall the troop was using. Do NOT use any image showing an injured animal; it is both wrong and commercially damaging.",
Solution,/solutions/moulding-bird-problems/,Bird & Pigeon Problems on Decorative Mouldings,single,"a decorative band with spikes fitted, photographed from street level so the point is that you cannot pick them out",Discreet bird spikes on a decorative moulding
Solution,/solutions/moulding-bird-problems/,Bird & Pigeon Problems on Decorative Mouldings,set,"essential on this page — the same moulding shot from street level before and after. If the viewer cannot spot the spikes in the ""after"", the objection is answered better than any paragraph can answer it.",
Solution,/solutions/parapet-bird-problems/,Bird & Pigeon Problems on Parapet Walls,single,"a long parapet run with spikes fitted, shot down the length so the scale reads",Bird spikes fitted along a parapet wall
Solution,/solutions/parapet-bird-problems/,Bird & Pigeon Problems on Parapet Walls,set,"a long parapet shot down its length with spikes fitted — the scale is the selling point here; a wide coping with two parallel rows, which explains the quantity question better than any paragraph; a corner return.",
Solution,/solutions/pelmet-bird-problems/,Bird & Pigeon Problems in Pelmets and Curtain Boxes,single,the open end of a pelmet box with nesting material visible inside. That single image explains this page,Nesting material inside a pelmet box
Solution,/solutions/pelmet-bird-problems/,Bird & Pigeon Problems in Pelmets and Curtain Boxes,set,the open end of a pelmet before and after netting; a run of window heads on one elevation showing the same detail repeated.,
Product,/bird-control/pigeon-spikes/,Pigeon Spikes,single,"a long parapet run, shot down the length so the scale reads",Pigeon spikes fitted along a building parapet
Product,/bird-control/pigeon-spikes/,Pigeon Spikes,set,a two-row parapet showing both rows clearly — this is the image that explains the row argument better than the worked example does. Plus one long run shot down its length for scale.,
Solution,/solutions/pillar-bird-problems/,Bird & Pigeon Problems on Pillars and Column Tops,single,a short segment fitted on a column capital — the small scale is the point,Bird spikes fitted on a pillar capital
Solution,/solutions/pillar-bird-problems/,Bird & Pigeon Problems on Pillars and Column Tops,set,"a gate pillar capital protected, shot from below at the angle a visitor sees; a circular capital with segments chorded around it.",
Solution,/solutions/porch-bird-problems/,Bird & Pigeon Problems in Porches and Entrances,single,looking UP at a porch soffit with spikes on the beam junctions — the upward angle is the point,Bird spikes fitted on porch ceiling beam junctions
Solution,/solutions/porch-bird-problems/,Bird & Pigeon Problems in Porches and Entrances,set,"a nest in a porch beam junction, shot from below — instantly recognisable to anyone with this problem; the same junction protected; a clean entrance floor after.",
Solution,/solutions/railing-bird-problems/,Bird & Pigeon Problems on Railings,single,"spikes fitted along a balcony handrail, close enough to see the fixing method",Bird spikes fitted along a balcony railing
Solution,/solutions/railing-bird-problems/,Bird & Pigeon Problems on Railings,set,"a strip fitted on a ROUND tube railing, close up — this is the shot buyers most want to see and nobody publishes it. Also a long run along a balcony rail, and a corner return.",
Solution,/solutions/rooftop-bird-problems/,Bird & Pigeon Problems on Rooftops and Terraces,single,"spikes running along a terrace parapet, roof visible behind",Bird spikes fitted along a terrace parapet wall
Solution,/solutions/rooftop-bird-problems/,Bird & Pigeon Problems on Rooftops and Terraces,set,"a long parapet run with spikes fitted, shot down the length so the scale is visible; spikes on a water tank rim; solar array perimeter exclusion",
Solution,/solutions/commercial/,Bird Control for Commercial Buildings,single,"a commercial frontage or entrance canopy, protected and looking clean",Bird control installed on a commercial building entrance
Solution,/solutions/commercial/,Bird Control for Commercial Buildings,set,"a hotel or showroom frontage before and after; a protected entrance canopy; a signage top with spikes fitted, shot from street level to show how little it reads. A named commercial reference, if any client permits it, is worth more here than anywhere else on the site.",
Solution,/solutions/industrial/,Bird Control for Industrial Sites,single,"netting across an industrial roof structure, or a protected girder run",Industrial bird netting installed in a factory roof structure
Solution,/solutions/industrial/,Bird Control for Industrial Sites,set,"horizontal netting across a full bay from floor level; a girder flange with two rows; a meshed ventilator. An industrial reference site — even ""a food processing plant in Maharashtra"" without the name — is worth a great deal to this buyer.",
Solution,/solutions/residential/,"Bird Control for Homes, Flats and Housing Societies",single,"a residential balcony or elevation, protected",Bird spikes fitted on a residential balcony
Solution,/solutions/split-ac-bird-problems/,Bird & Pigeon Problems on Split AC Outdoor Units,single,"pigeon spikes fitted on top of a split AC outdoor unit, wall bracket visible",Pigeon spikes fitted on a split AC outdoor unit
Solution,/solutions/split-ac-bird-problems/,Bird & Pigeon Problems on Split AC Outdoor Units,set,"before/after of an AC unit from the same angle; a close-up of spikes on the top panel; the cavity behind a unit with nesting material, which nobody else photographs and which explains the whole page in one image",
Solution,/solutions/truss-bird-problems/,Bird & Pigeon Problems in Roof Trusses,single,"horizontal net below a truss line, shot from the floor so the span reads",Anti bird net installed horizontally below roof trusses
Solution,/solutions/truss-bird-problems/,Bird & Pigeon Problems in Roof Trusses,set,"a net running below a truss line across a full bay, from floor level; a node point with an established nest, which explains the whole page; a partial installation over racking only, which sells the cost-saving argument.",
Solution,/solutions/tube-light-bird-problems/,Bird & Pigeon Problems on Tube Lights and Light Fittings,single,small spike sections fitted on top of a surface-mounted batten or high bay,Bird spikes fitted on top of a tube light fitting
Solution,/solutions/tube-light-bird-problems/,Bird & Pigeon Problems on Tube Lights and Light Fittings,set,"the top of a high bay with an established nest, which explains the safety point instantly; a diffuser before and after cleaning, side by side — that pair proves the ""your lights got dimmer"" argument better than any text.",
Solution,/solutions/warehouse-bird-problems/,Bird Problems in Warehouses & Godowns,single,"netting installed under a warehouse roof, shot from floor level so the span is visible",Anti bird net installed under a warehouse roof
Solution,/solutions/warehouse-bird-problems/,Bird Problems in Warehouses & Godowns,set,"horizontal netting across a warehouse span, from the floor; spikes on a girder flange; a ventilator meshed. A reference site name, if any client will allow it, is worth more here than on any other page.",
Solution,/solutions/window-ac-bird-problems/,Bird & Pigeon Problems on Window AC Units,single,"spikes fitted on the projecting top of a window AC unit, gap around the frame visible",Bird spikes fitted on a window AC unit
Solution,/solutions/window-ac-bird-problems/,Bird & Pigeon Problems on Window AC Units,set,the gap around a window AC casing with nesting material in it — that image explains the whole page; spikes fitted on a unit top; a sealed gap after.,
Solution,/solutions/window-sill-bird-problems/,Bird & Pigeon Problems on Window Sills,single,"bird spikes fitted on a window sill, wall face below visible and clean",Bird spikes fitted along a window sill to stop pigeons perching
Solution,/solutions/window-sill-bird-problems/,Bird & Pigeon Problems on Window Sills,set,before/after of the SAME window from the same position — the streaked wall before and the clean wall after is the most persuasive image on this page. Also a close-up showing how little a fitted strip is visible from inside.,
